n,theory_size,theory_clos_size,systematicity,systematicity_type,gamma,alpha,beta
7,3,4,0.4629629629629629,sys_csw_beta,,,0.1
7,3,5,0.6296296296296297,sys_csw_beta,,,0.1
7,3,6,0.7962962962962963,sys_csw_beta,,,0.1
7,3,7,0.962962962962963,sys_csw_beta,,,0.1
7,4,4,0.44444444444444453,sys_csw_beta,,,0.1
7,4,5,0.6111111111111112,sys_csw_beta,,,0.1
7,4,6,0.7777777777777778,sys_csw_beta,,,0.1
7,4,7,0.9444444444444444,sys_csw_beta,,,0.1
7,5,5,0.5925925925925926,sys_csw_beta,,,0.1
7,5,6,0.7592592592592593,sys_csw_beta,,,0.1
7,5,7,0.9259259259259259,sys_csw_beta,,,0.1
7,6,6,0.7407407407407407,sys_csw_beta,,,0.1
7,6,7,0.9074074074074074,sys_csw_beta,,,0.1
7,7,7,0.8888888888888888,sys_csw_beta,,,0.1
7,1,1,0.0,sys_csw_beta,,,0.3
7,1,2,0.16666666666666652,sys_csw_beta,,,0.3
7,1,3,0.33333333333333326,sys_csw_beta,,,0.3
7,1,4,0.5,sys_csw_beta,,,0.3
7,1,5,0.6666666666666666,sys_csw_beta,,,0.3
7,1,6,0.8333333333333333,sys_csw_beta,,,0.3
7,1,7,1.0,sys_csw_beta,,,0.3
7,2,2,0.09523809523809512,sys_csw_beta,,,0.3
7,2,3,0.26190476190476186,sys_csw_beta,,,0.3
7,2,4,0.4285714285714286,sys_csw_beta,,,0.3
7,2,5,0.5952380952380951,sys_csw_beta,,,0.3
7,2,6,0.7619047619047619,sys_csw_beta,,,0.3
7,2,7,0.9285714285714286,sys_csw_beta,,,0.3
7,3,3,0.19047619047619035,sys_csw_beta,,,0.3
7,3,4,0.3571428571428571,sys_csw_beta,,,0.3
7,3,5,0.5238095238095237,sys_csw_beta,,,0.3
7,3,6,0.6904761904761905,sys_csw_beta,,,0.3
7,3,7,0.8571428571428571,sys_csw_beta,,,0.3
7,4,4,0.2857142857142857,sys_csw_beta,,,0.3
7,4,5,0.45238095238095233,sys_csw_beta,,,0.3
7,4,6,0.6190476190476191,sys_csw_beta,,,0.3
7,4,7,0.7857142857142857,sys_csw_beta,,,0.3
7,5,5,0.38095238095238093,sys_csw_beta,,,0.3
7,5,6,0.5476190476190476,sys_csw_beta,,,0.3
7,5,7,0.7142857142857142,sys_csw_beta,,,0.3
7,6,6,0.47619047619047605,sys_csw_beta,,,0.3
7,6,7,0.6428571428571428,sys_csw_beta,,,0.3
7,7,7,0.5714285714285714,sys_csw_beta,,,0.3
7,1,1,0.09523809523809545,sys_csw_beta,,,0.525
7,1,2,0.24603174603174616,sys_csw_beta,,,0.525
7,1,3,0.39682539682539697,sys_csw_beta,,,0.525
